CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
25090631;INSTITUTO MON SERRAT;PB;Sapé;Privada;Urbana;18;De 1 a 30 alunos;18;100.00;0;80% ou mais;Médio Alto;Até 50%;34.30;86.10;13.90;0.00;;531.42;5.56;66.67;27.78;0.00;0.00
25043897;EEEFM CICERO DOS ANJOS;PB;Seridó;Estadual;Urbana;89;De 61 a 90 alunos;57;64.04;0;De 60% a 80%;Baixo;Maior que 50%;60.60;76.00;15.30;8.70;493.73;447.33;52.63;42.11;5.26;0.00;0.00
25048880;EEEFM SENADOR JOSE GAUDENCIO;PB;Serra Branca;Estadual;Urbana;118;Maior que 90 alunos;96;81.36;1;De 60% a 80%;Médio Baixo;Maior que 50%;89.50;86.30;5.20;8.50;539.01;461.72;40.63;50.00;9.38;0.00;0.00
25070576;EEEFM MARIA JOSE MIRANDA BURITY;PB;Serra da Raiz;Estadual;Rural;43;De 31 a 60 alunos;25;58.14;0;80% ou mais;Médio Baixo;Até 50%;41.50;100.00;0.00;0.00;;476.10;24.00;68.00;8.00;0.00;0.00
25032968;EEEFM PROF JOSEFA JUSTINO GOMES;PB;Serra Grande;Estadual;Urbana;44;De 31 a 60 alunos;27;61.36;0;80% ou mais;Médio Baixo;Até 50%;38.50;90.00;4.20;5.80;;475.26;37.04;48.15;14.81;0.00;0.00
25066013;EEEFM ANTONIO BENTO;PB;Serraria;Estadual;Urbana;24;De 1 a 30 alunos;18;75.00;0;De 20% a 40%;Baixo;Até 50%;44.00;80.20;2.10;17.70;;452.79;44.44;55.56;0.00;0.00;0.00
25068342;EEEFM JOAO DE FREITAS MOUZINHO;PB;Sertãozinho;Estadual;Urbana;58;De 31 a 60 alunos;37;63.79;0;De 60% a 80%;Baixo;Até 50%;27.50;81.90;15.20;2.90;496.74;477.66;27.03;64.86;8.11;0.00;0.00
25122401;EEEFM SEVERINA RAMOS DE OLIVEIRA;PB;Sobrado;Estadual;Urbana;51;De 31 a 60 alunos;35;68.63;0;80% ou mais;Baixo;Até 50%;44.20;57.00;38.30;4.70;513.74;502.33;14.29;68.57;17.14;0.00;0.00
25060406;EEEFM ARLINDO RAMALHO;PB;Solânea;Estadual;Urbana;56;De 31 a 60 alunos;29;51.79;0;De 40% a 60%;Baixo;Até 50%;33.00;60.80;9.90;29.30;;451.51;51.72;41.38;6.90;0.00;0.00
25060376;EEEFM DR ALFREDO PESSOA DE LIMA;PB;Solânea;Estadual;Urbana;81;De 61 a 90 alunos;58;71.60;0;De 60% a 80%;Médio Baixo;Maior que 50%;58.10;78.10;4.50;17.40;524.23;468.95;39.66;50.00;10.34;0.00;0.00
25058304;EEEFM DR TRAJANO NOBREGA;PB;Soledade;Estadual;Urbana;97;Maior que 90 alunos;65;67.01;1;De 60% a 80%;Médio Baixo;Maior que 50%;92.00;82.00;7.90;10.10;548.97;493.02;26.15;56.92;16.92;0.00;0.00
25056581;EEEFM JOSE VITORINO DE MEDEIROS;PB;Sossêgo;Estadual;Urbana;35;De 31 a 60 alunos;18;51.43;0;De 60% a 80%;Médio Baixo;Até 50%;18.50;79.10;5.00;15.90;;470.29;38.89;50.00;11.11;0.00;0.00
25017934;COLEGIO MONTEIRO LOBATO LTDA;PB;Sousa;Privada;Urbana;30;De 1 a 30 alunos;28;93.33;1;80% ou mais;Médio Alto;Maior que 50%;65.20;97.00;3.00;0.00;;553.43;3.57;42.86;50.00;3.57;0.00
25018280;EEEM MESTRE JULIO SARMENTO;PB;Sousa;Estadual;Urbana;255;Maior que 90 alunos;227;89.02;0;80% ou mais;Médio Baixo;Maior que 50%;68.00;79.10;12.50;8.40;577.09;488.30;27.31;56.39;16.30;0.00;0.00
25018582;ENE JOSE DE PAIVA GADELHA;PB;Sousa;Estadual;Urbana;119;Maior que 90 alunos;87;73.11;2;80% ou mais;Médio Baixo;Maior que 50%;60.80;77.80;14.30;7.90;515.52;456.11;43.68;52.87;3.45;0.00;0.00
25018183;EEEFM ESTEVAM MARINHO;PB;Sousa;Estadual;Urbana;16;De 1 a 30 alunos;12;75.00;0;De 40% a 60%;Médio;Até 50%;44.10;78.80;13.50;7.70;;466.56;33.33;66.67;0.00;0.00;0.00
25018027;IFPB - CAMPUS SOUSA;PB;Sousa;Federal;Urbana;65;De 61 a 90 alunos;59;90.77;0;De 60% a 80%;Baixo;Maior que 50%;69.30;82.80;8.10;9.10;541.76;492.99;23.73;59.32;16.95;0.00;0.00
