CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
42028990;COLEGIO BOM JESUS DIOCESANO;SC;Lages;Privada;Urbana;70;De 61 a 90 alunos;68;97.14;0;80% ou mais;Muito alto;Maior que 50%;61.40;92.90;7.10;0.00;821.33;693.24;2.94;19.12;35.29;16.18;26.47
42028493;COLEGIO SANTA ROSA DE LIMA;SC;Lages;Privada;Urbana;78;De 61 a 90 alunos;65;83.33;0;De 60% a 80%;Muito alto;Até 50%;44.30;92.50;7.10;0.40;671.33;602.46;4.62;38.46;41.54;13.85;1.54
42145163;SENAI SC LAGES;SC;Lages;Privada;Urbana;64;De 61 a 90 alunos;45;70.31;0;De 60% a 80%;Muito alto;Até 50%;49.50;86.70;12.80;0.50;680.00;623.11;13.33;28.89;33.33;13.33;11.11
42030129;EEB PROF ILZA AMARAL DE OLIVEIRA;SC;Lages;Estadual;Urbana;18;De 1 a 30 alunos;15;83.33;1;80% ou mais;Médio Alto;Até 50%;25.00;62.20;37.80;0.00;;478.67;33.33;60.00;6.67;0.00;0.00
42093937;COLEGIO STELLA MARIS;SC;Laguna;Privada;Urbana;19;De 1 a 30 alunos;18;94.74;0;80% ou mais;Alto;Até 50%;42.90;100.00;0.00;0.00;;617.78;16.67;33.33;22.22;22.22;5.56
42093872;EEBP PROFESSORA ADELIA CABRAL VAREJAO;SC;Laguna;Privada;Urbana;59;De 31 a 60 alunos;57;96.61;0;80% ou mais;Médio Alto;Maior que 50%;76.90;93.30;6.70;0.00;716.67;634.39;5.26;28.07;36.84;19.30;10.53
42093520;EEB SAUL ULYSSEA;SC;Laguna;Estadual;Urbana;50;De 31 a 60 alunos;28;56.00;1;80% ou mais;Médio Alto;Maior que 50%;66.70;77.50;9.20;13.30;;503.57;32.14;39.29;21.43;7.14;0.00
42093503;EEB GREGORIO MANOEL DE BEM;SC;Laguna;Estadual;Rural;22;De 1 a 30 alunos;15;68.18;1;De 60% a 80%;Médio Alto;Até 50%;38.50;76.90;12.30;10.80;;553.33;46.67;6.67;40.00;6.67;0.00
42093490;EEB DR RENATO RAMOS DA SILVA;SC;Laguna;Estadual;Urbana;32;De 31 a 60 alunos;17;53.13;0;De 40% a 60%;Médio Alto;Maior que 50%;53.70;100.00;0.00;0.00;;455.29;52.94;35.29;11.76;0.00;0.00
42085250;EEB PROFESSORA ANTONIA GASINO DE FREITAS;SC;Lajeado Grande;Estadual;Urbana;24;De 1 a 30 alunos;21;87.50;0;80% ou mais;Médio Alto;Até 50%;41.70;94.00;0.00;6.00;;542.86;19.05;42.86;38.10;0.00;0.00
42026040;EEB TEREZA CRISTINA;SC;Laurentino;Estadual;Urbana;74;De 61 a 90 alunos;37;50.00;0;80% ou mais;Alto;Até 50%;32.30;87.90;7.90;4.20;594.00;560.54;27.03;37.84;24.32;5.41;5.41
42096847;EEB BERTINO SILVA;SC;Leoberto Leal;Estadual;Urbana;42;De 31 a 60 alunos;27;64.29;1;80% ou mais;Médio Alto;Até 50%;42.10;86.50;11.00;2.50;;533.33;40.74;33.33;14.81;3.70;7.41
42048648;EEB PE IZIDORO BENJAMIN MORO;SC;Lindóia do Sul;Estadual;Urbana;49;De 31 a 60 alunos;32;65.31;4;80% ou mais;Médio Alto;Até 50%;42.40;94.40;3.20;2.40;599.33;586.88;9.38;53.13;21.88;15.63;0.00
42070899;EEB GOV IRINEU BORNHAUSEN;SC;Luiz Alves;Estadual;Urbana;28;De 1 a 30 alunos;19;67.86;0;De 60% a 80%;Médio Alto;Até 50%;41.70;80.30;9.90;9.80;;563.16;21.05;42.11;31.58;5.26;0.00
42041910;EEB PADRE NOBREGA;SC;Luzerna;Estadual;Urbana;102;Maior que 90 alunos;68;66.67;3;De 60% a 80%;Alto;Maior que 50%;63.90;80.30;15.30;4.40;656.00;557.94;23.53;39.71;22.06;13.24;1.47
42072310;EEB ALBINA MOSCONI;SC;Macieira;Estadual;Urbana;18;De 1 a 30 alunos;14;77.78;0;80% ou mais;Médio;Até 50%;40.00;83.30;8.30;8.40;;538.57;28.57;50.00;14.29;7.14;0.00
